,Song,Artist,Query
1737,believer,imagine dragons,believer imagine dragons lyrics
1738,criminal,natti natasha,criminal natti natasha lyrics
1739,humble.,kendrick lamar,humble. kendrick lamar lyrics
1740,fetish (feat. gucci mane),selena gomez,fetish (feat. gucci mane) selena gomez lyrics
1741,attention,charlie puth,attention charlie puth lyrics
1742,man's not hot,big shaq,man's not hot big shaq lyrics
1743,ciao adios,anne-marie,ciao adios anne-marie lyrics
1744,human,rag'n'bone man,human rag'n'bone man lyrics
1745,do re mi,blackbear,do re mi blackbear lyrics
1746,gucci gang,lil pump,gucci gang lil pump lyrics
1747,look what you made me do,taylor swift,look what you made me do taylor swift lyrics
1748,subeme la radio (feat. descemer bueno & zion & lennox),enrique iglesias,subeme la radio (feat. descemer bueno & zion & lennox) enrique iglesias lyrics
1749,tunnel vision,kodak black,tunnel vision kodak black lyrics
1750,dna.,kendrick lamar,dna. kendrick lamar lyrics
1751,drowning (feat. kodak black),a boogie wit da hoodie,drowning (feat. kodak black) a boogie wit da hoodie lyrics
1752,jocelyn flores,xxxtentacion,jocelyn flores xxxtentacion lyrics
1753,bad and boujee (feat. lil uzi vert),migos,bad and boujee (feat. lil uzi vert) migos lyrics
1754,rake it up (feat. nicki minaj),yo gotti,rake it up (feat. nicki minaj) yo gotti lyrics
1755,scared to be lonely,martin garrix,scared to be lonely martin garrix lyrics
1756,mama,jonas blue,mama jonas blue lyrics
1757,solo dance,martin jensen,solo dance martin jensen lyrics
1758,...ready for it?,taylor swift,...ready for it? taylor swift lyrics
1759,2u (feat. justin bieber),david guetta,2u (feat. justin bieber) david guetta lyrics
1760,slippery (feat. gucci mane),migos,slippery (feat. gucci mane) migos lyrics
1761,there's nothing holdin' me back,shawn mendes,there's nothing holdin' me back shawn mendes lyrics
1762,good life (with g-eazy & kehlani),g-eazy,good life (with g-eazy & kehlani) g-eazy lyrics
1763,all night,the vamps,all night the vamps lyrics
1764,new rules,dua lipa,new rules dua lipa lyrics
1765,bodak yellow,cardi b,bodak yellow cardi b lyrics
1766,skin,rag'n'bone man,skin rag'n'bone man lyrics
1767,i would like,zara larsson,i would like zara larsson lyrics
1768,wild thoughts (feat. rihanna & bryson tiller),dj khaled,wild thoughts (feat. rihanna & bryson tiller) dj khaled lyrics
1769,congratulations,post malone,congratulations post malone lyrics
1770,without you (feat. sandro cavazza),avicii,without you (feat. sandro cavazza) avicii lyrics
1771,symphony (feat. zara larsson),clean bandit,symphony (feat. zara larsson) clean bandit lyrics
1772,chained to the rhythm,katy perry,chained to the rhythm katy perry lyrics
1773,juju on that beat (tz anthem),zay hilfigerrr,juju on that beat (tz anthem) zay hilfigerrr lyrics
1774,"feels (feat. pharrell williams, katy perry & big sean)",calvin harris,"feels (feat. pharrell williams, katy perry & big sean) calvin harris lyrics"
1775,t-shirt,migos,t-shirt migos lyrics
1776,rich love (with seeb),onerepublic,rich love (with seeb) onerepublic lyrics
1777,pretty girl - cheat codes x cade remix,maggie lindemann,pretty girl - cheat codes x cade remix maggie lindemann lyrics
1778,glorious (feat. skylar grey),macklemore,glorious (feat. skylar grey) macklemore lyrics
1779,numb,hayden james,numb hayden james lyrics
1780,strip that down,liam payne,strip that down liam payne lyrics
1781,passionfruit,drake,passionfruit drake lyrics
1782,friends (with bloodpop®),justin bieber,friends (with bloodpop®) justin bieber lyrics
1783,"i don’t wanna live forever (fifty shades darker) - from ""fifty shades darker (original motion picture soundtrack)""",zayn,"i don’t wanna live forever (fifty shades darker) - from ""fifty shades darker (original motion picture soundtrack)"" zayn lyrics"
1784,scars to your beautiful,alessia cara,scars to your beautiful alessia cara lyrics
1785,it's a vibe,2 chainz,it's a vibe 2 chainz lyrics
1786,call on me - ryan riback remix,starley,call on me - ryan riback remix starley lyrics
1787,weak,ajr,weak ajr lyrics
1788,lust for life (with the weeknd),lana del rey,lust for life (with the weeknd) lana del rey lyrics
1789,reggaetón lento (remix),cnco,reggaetón lento (remix) cnco lyrics
1790,middle of the night,the vamps,middle of the night the vamps lyrics
1791,i feel it coming,the weeknd,i feel it coming the weeknd lyrics
1792,paris,the chainsmokers,paris the chainsmokers lyrics
1793,bounce back,big sean,bounce back big sean lyrics
1794,mercy,shawn mendes,mercy shawn mendes lyrics
1795,lonely together (feat. rita ora),avicii,lonely together (feat. rita ora) avicii lyrics
1796,no promises (feat. demi lovato),cheat codes,no promises (feat. demi lovato) cheat codes lyrics
1797,24k magic,bruno mars,24k magic bruno mars lyrics
1798,homemade dynamite - remix,lorde,homemade dynamite - remix lorde lyrics
1799,it ain't me (with selena gomez),kygo,it ain't me (with selena gomez) kygo lyrics
1800,god's plan,drake,god's plan drake lyrics
1801,rockstar (feat. 21 savage),post malone,rockstar (feat. 21 savage) post malone lyrics
1802,ric flair drip (with metro boomin),offset,ric flair drip (with metro boomin) offset lyrics
1803,him & i (with halsey),g-eazy,him & i (with halsey) g-eazy lyrics
1804,in my mind,dynoro,in my mind dynoro lyrics
1805,lucid dreams,juice wrld,lucid dreams juice wrld lyrics
1806,the middle,zedd,the middle zedd lyrics
1807,friends,marshmello,friends marshmello lyrics
1808,i like it,cardi b,i like it cardi b lyrics
1809,moonlight,xxxtentacion,moonlight xxxtentacion lyrics
1810,no tears left to cry,ariana grande,no tears left to cry ariana grande lyrics
1811,mo bamba,sheck wes,mo bamba sheck wes lyrics
1812,one kiss (with dua lipa),calvin harris,one kiss (with dua lipa) calvin harris lyrics
1813,taste (feat. offset),tyga,taste (feat. offset) tyga lyrics
1814,sicko mode,travis scott,sicko mode travis scott lyrics
1815,natural,imagine dragons,natural imagine dragons lyrics
1816,"taki taki (with selena gomez, ozuna & cardi b)",dj snake,"taki taki (with selena gomez, ozuna & cardi b) dj snake lyrics"
1817,spotlight,marshmello,spotlight marshmello lyrics
1818,pray for me (with kendrick lamar),the weeknd,pray for me (with kendrick lamar) the weeknd lyrics
1819,lovely (with khalid),billie eilish,lovely (with khalid) billie eilish lyrics
1820,walk it talk it,migos,walk it talk it migos lyrics
1821,solo (feat. demi lovato),clean bandit,solo (feat. demi lovato) clean bandit lyrics
1822,nonstop,drake,nonstop drake lyrics
1823,fefe,6ix9ine,fefe 6ix9ine lyrics
1824,call out my name,the weeknd,call out my name the weeknd lyrics
1825,te boté - remix,nio garcia,te boté - remix nio garcia lyrics
1826,motorsport,migos,motorsport migos lyrics
1827,x,nicky jam,x nicky jam lyrics
1828,sad!,xxxtentacion,sad! xxxtentacion lyrics
1829,sin pijama,becky g,sin pijama becky g lyrics
1830,"home (with machine gun kelly, x ambassadors & bebe rexha)",machine gun kelly,"home (with machine gun kelly, x ambassadors & bebe rexha) machine gun kelly lyrics"
1831,gummo,6ix9ine,gummo 6ix9ine lyrics
1832,breathe,jax jones,breathe jax jones lyrics
1833,sick boy,the chainsmokers,sick boy the chainsmokers lyrics
1834,"king's dead (with kendrick lamar, future & james blake)",jay rock,"king's dead (with kendrick lamar, future & james blake) jay rock lyrics"
1835,plug walk,rich the kid,plug walk rich the kid lyrics
1836,all the stars (with sza),kendrick lamar,all the stars (with sza) kendrick lamar lyrics
1837,everyday,logic,everyday logic lyrics
1838,tip toe (feat. french montana),jason derulo,tip toe (feat. french montana) jason derulo lyrics
1839,god is a woman,ariana grande,god is a woman ariana grande lyrics
1840,powerglide (feat. juicy j) - from sr3mm,rae sremmurd,powerglide (feat. juicy j) - from sr3mm rae sremmurd lyrics
1841,german,eo,german eo lyrics
1842,nevermind,dennis lloyd,nevermind dennis lloyd lyrics
1843,we fell in love in october,girl in red,we fell in love in october girl in red lyrics
1844,wolves,selena gomez,wolves selena gomez lyrics
1845,jackie chan,tiësto,jackie chan tiësto lyrics
1846,leave a light on,tom walker,leave a light on tom walker lyrics
1847,"1, 2, 3 (feat. jason derulo & de la ghetto)",sofía reyes,"1, 2, 3 (feat. jason derulo & de la ghetto) sofía reyes lyrics"
1848,silence,marshmello,silence marshmello lyrics
1849,youngblood,5 seconds of summer,youngblood 5 seconds of summer lyrics
1850,body (feat. brando),loud luxury,body (feat. brando) loud luxury lyrics
1851,for you (fifty shades freed) (& rita ora),liam payne,for you (fifty shades freed) (& rita ora) liam payne lyrics
1852,let you down,nf,let you down nf lyrics
1853,changes,xxxtentacion,changes xxxtentacion lyrics
1854,corazón (feat. nego do borel),maluma,corazón (feat. nego do borel) maluma lyrics
1855,bodak yellow,cardi b,bodak yellow cardi b lyrics
1856,yes indeed,lil baby,yes indeed lil baby lyrics
1857,rise,jonas blue,rise jonas blue lyrics
1858,flames,david guetta,flames david guetta lyrics
1859,vaina loca,ozuna,vaina loca ozuna lyrics
1860,how long,charlie puth,how long charlie puth lyrics
1861,better now,post malone,better now post malone lyrics
1862,look alive (feat. drake),blocboy jb,look alive (feat. drake) blocboy jb lyrics
1863,river (feat. ed sheeran),eminem,river (feat. ed sheeran) eminem lyrics
1864,happier,marshmello,happier marshmello lyrics
1865,be alright,dean lewis,be alright dean lewis lyrics
1866,done for me (feat. kehlani),charlie puth,done for me (feat. kehlani) charlie puth lyrics
1867,stir fry,migos,stir fry migos lyrics
1868,"big bank (feat. 2 chainz, big sean, nicki minaj)",yg,"big bank (feat. 2 chainz, big sean, nicki minaj) yg lyrics"
1869,in my feelings,drake,in my feelings drake lyrics
1870,jumanji,b young,jumanji b young lyrics
1871,the way i am,charlie puth,the way i am charlie puth lyrics
1872,me niego (feat. ozuna & wisin),reik,me niego (feat. ozuna & wisin) reik lyrics
1873,eastside (with halsey & khalid),benny blanco,eastside (with halsey & khalid) benny blanco lyrics
1874,échame la culpa,luis fonsi,échame la culpa luis fonsi lyrics
1875,17,mk,17 mk lyrics
1876,anywhere,rita ora,anywhere rita ora lyrics
1877,answerphone (feat. yxng bane),banx & ranx,answerphone (feat. yxng bane) banx & ranx lyrics
1878,trip,ella mai,trip ella mai lyrics
1879,dura,daddy yankee,dura daddy yankee lyrics
1880,no brainer,dj khaled,no brainer dj khaled lyrics
1881,2002,anne-marie,2002 anne-marie lyrics
1882,finesse - remix; feat. cardi b,bruno mars,finesse - remix; feat. cardi b bruno mars lyrics
1883,let's fall in love for the night,finneas,let's fall in love for the night finneas lyrics
1884,the greatest show,hugh jackman,the greatest show hugh jackman lyrics
1885,bad at love,halsey,bad at love halsey lyrics
1886,i'm upset,drake,i'm upset drake lyrics
1887,never be the same,camila cabello,never be the same camila cabello lyrics
1888,bad vibe,m.o,bad vibe m.o lyrics
1889,idgaf,dua lipa,idgaf dua lipa lyrics
1890,miss you (with major lazer & tory lanez),cashmere cat,miss you (with major lazer & tory lanez) cashmere cat lyrics
1891,mine,bazzi,mine bazzi lyrics
1892,freaky friday (feat. chris brown),lil dicky,freaky friday (feat. chris brown) lil dicky lyrics
1893,i like me better,lauv,i like me better lauv lyrics
1894,this feeling,the chainsmokers,this feeling the chainsmokers lyrics
1895,girls like you (feat. cardi b) - cardi b version,maroon 5,girls like you (feat. cardi b) - cardi b version maroon 5 lyrics
1896,love lies (with normani),khalid,love lies (with normani) khalid lyrics
1897,nice for what,drake,nice for what drake lyrics
1898,love. feat. zacari.,kendrick lamar,love. feat. zacari. kendrick lamar lyrics
1899,psycho (feat. ty dolla $ign),post malone,psycho (feat. ty dolla $ign) post malone lyrics
1900,old town road - remix,lil nas x,old town road - remix lil nas x lyrics
1901,bad guy,billie eilish,bad guy billie eilish lyrics
1902,señorita,shawn mendes,señorita shawn mendes lyrics
1903,7 rings,ariana grande,7 rings ariana grande lyrics
1904,sunflower - spider-man: into the spider-verse,post malone,sunflower - spider-man: into the spider-verse post malone lyrics
1905,lost in the fire (feat. the weeknd),gesaffelstein,lost in the fire (feat. the weeknd) gesaffelstein lyrics
1906,without me,halsey,without me halsey lyrics
1907,ride it,regard,ride it regard lyrics
1908,shallow,lady gaga,shallow lady gaga lyrics
1909,nothing breaks like a heart (feat. miley cyrus),mark ronson,nothing breaks like a heart (feat. miley cyrus) mark ronson lyrics
1910,someone you loved,lewis capaldi,someone you loved lewis capaldi lyrics
1911,all day and night,jax jones,all day and night jax jones lyrics
1912,pure water (with migos),mustard,pure water (with migos) mustard lyrics
1913,shotta flow (feat. blueface) [remix],nle choppa,shotta flow (feat. blueface) [remix] nle choppa lyrics
1914,zeze (feat. travis scott & offset),kodak black,zeze (feat. travis scott & offset) kodak black lyrics
1915,con calma,daddy yankee,con calma daddy yankee lyrics
1916,let me down slowly,alec benjamin,let me down slowly alec benjamin lyrics
1917,kill this love,blackpink,kill this love blackpink lyrics
1918,clout (feat. cardi b),offset,clout (feat. cardi b) offset lyrics
1919,piece of your heart,meduza,piece of your heart meduza lyrics
1920,antisocial (with travis scott),ed sheeran,antisocial (with travis scott) ed sheeran lyrics
1921,sicko mode,travis scott,sicko mode travis scott lyrics
1922,mad love,mabel,mad love mabel lyrics
1923,doin' time,lana del rey,doin' time lana del rey lyrics
1924,"taki taki (feat. selena gomez, ozuna & cardi b)",dj snake,"taki taki (feat. selena gomez, ozuna & cardi b) dj snake lyrics"
1925,look back at it,a boogie wit da hoodie,look back at it a boogie wit da hoodie lyrics
1926,my type,saweetie,my type saweetie lyrics
1927,ransom,lil tecca,ransom lil tecca lyrics
1928,keisha & becky - remix,russ millions,keisha & becky - remix russ millions lyrics
1929,lovely (with khalid),billie eilish,lovely (with khalid) billie eilish lyrics
1930,don't call me up,mabel,don't call me up mabel lyrics
1931,old town road,lil nas x,old town road lil nas x lyrics
1932,going bad (feat. drake),meek mill,going bad (feat. drake) meek mill lyrics
1933,wow.,post malone,wow. post malone lyrics
1934,juicy,doja cat,juicy doja cat lyrics
1935,swervin (feat. 6ix9ine),a boogie wit da hoodie,swervin (feat. 6ix9ine) a boogie wit da hoodie lyrics
1936,emotions,iann dior,emotions iann dior lyrics
1937,adan y eva,paulo londra,adan y eva paulo londra lyrics
1938,money in the grave (drake ft. rick ross),drake,money in the grave (drake ft. rick ross) drake lyrics
1939,panini,lil nas x,panini lil nas x lyrics
1940,mia (feat. drake),bad bunny,mia (feat. drake) bad bunny lyrics
1941,pop out (feat. lil tjay),polo g,pop out (feat. lil tjay) polo g lyrics
1942,robbery,juice wrld,robbery juice wrld lyrics
1943,a lot,21 savage,a lot 21 savage lyrics
1944,the london (feat. j. cole & travis scott),young thug,the london (feat. j. cole & travis scott) young thug lyrics
1945,china,anuel aa,china anuel aa lyrics
1946,liar,camila cabello,liar camila cabello lyrics
1947,leave me alone,flipp dinero,leave me alone flipp dinero lyrics
1948,money,cardi b,money cardi b lyrics
1949,"break up with your girlfriend, i'm bored",ariana grande,"break up with your girlfriend, i'm bored ariana grande lyrics"
1950,location (feat. burna boy),dave,location (feat. burna boy) dave lyrics
1951,sweet but psycho,ava max,sweet but psycho ava max lyrics
1952,don't start now,dua lipa,don't start now dua lipa lyrics
1953,strike a pose (feat. aitch),young t & bugsey,strike a pose (feat. aitch) young t & bugsey lyrics
1954,giant (with rag'n'bone man),calvin harris,giant (with rag'n'bone man) calvin harris lyrics
1955,take me back to london (feat. stormzy),ed sheeran,take me back to london (feat. stormzy) ed sheeran lyrics
1956,please me,cardi b,please me cardi b lyrics
1957,vossi bop,stormzy,vossi bop stormzy lyrics
1958,dance monkey,tones and i,dance monkey tones and i lyrics
1959,boyfriend (with social house),ariana grande,boyfriend (with social house) ariana grande lyrics
1960,callaita,bad bunny,callaita bad bunny lyrics
1961,so am i,ava max,so am i ava max lyrics
1962,calma - remix,pedro capó,calma - remix pedro capó lyrics
1963,middle child,j. cole,middle child j. cole lyrics
1964,soltera - remix,lunay,soltera - remix lunay lyrics
1965,better,khalid,better khalid lyrics
1966,thotiana,blueface,thotiana blueface lyrics
1967,suge,dababy,suge dababy lyrics
1968,ladbroke grove,aj tracey,ladbroke grove aj tracey lyrics
1969,bury a friend,billie eilish,bury a friend billie eilish lyrics
1970,boy with luv (feat. halsey),bts,boy with luv (feat. halsey) bts lyrics
1971,boasty (feat. idris elba),wiley,boasty (feat. idris elba) wiley lyrics
1972,only human,jonas brothers,only human jonas brothers lyrics
1973,easier,5 seconds of summer,easier 5 seconds of summer lyrics
1974,sos (feat. aloe blacc),avicii,sos (feat. aloe blacc) avicii lyrics
1975,earfquake,"tyler, the creator","earfquake tyler, the creator lyrics"
1976,on a roll,ashley o,on a roll ashley o lyrics
1977,3 nights,dominic fike,3 nights dominic fike lyrics
1978,wish you well,sigala,wish you well sigala lyrics
1979,hot girl summer (feat. nicki minaj & ty dolla $ign),megan thee stallion,hot girl summer (feat. nicki minaj & ty dolla $ign) megan thee stallion lyrics
1980,secreto,anuel aa,secreto anuel aa lyrics
1981,post malone (feat. rani),sam feldt,post malone (feat. rani) sam feldt lyrics
1982,nights like this (feat. ty dolla $ign),kehlani,nights like this (feat. ty dolla $ign) kehlani lyrics
1983,otro trago,sech,otro trago sech lyrics
1984,better now,post malone,better now post malone lyrics
1985,cross me (feat. chance the rapper & pnb rock),ed sheeran,cross me (feat. chance the rapper & pnb rock) ed sheeran lyrics
1986,i'm so tired...,lauv,i'm so tired... lauv lyrics
1987,gone girl,iann dior,gone girl iann dior lyrics
1988,high hopes,panic! at the disco,high hopes panic! at the disco lyrics
1989,one thing right,marshmello,one thing right marshmello lyrics
1990,how do you sleep?,sam smith,how do you sleep? sam smith lyrics
1991,options,nsg,options nsg lyrics
1992,motivation,normani,motivation normani lyrics
1993,sorry,joel corry,sorry joel corry lyrics
1994,goodbyes (feat. young thug),post malone,goodbyes (feat. young thug) post malone lyrics
1995,sucker,jonas brothers,sucker jonas brothers lyrics
1996,cruel summer,taylor swift,cruel summer taylor swift lyrics
1997,the git up,blanco brown,the git up blanco brown lyrics
1998,dancing with a stranger (with normani),sam smith,dancing with a stranger (with normani) sam smith lyrics
1999,circles,post malone,circles post malone lyrics
